edge_id,parent_entity_id,parent_entity_key,parent_name,child_entity_id,child_entity_key,child_name,relationship_type,certainty,source_id,page_number,line_number,source_ref,evidence_text,extraction_rule,wikidata_property_suggestion,privacy_review_required
EDGE_576ABDAF6A,ENT_D0F5F6FFD4,imam husayn,Imam Hussain,ENT_DFD295CAE2,ali zainulabideen a s,Ali Zain al-Abideen A.S,father_of,medium_high,SRC002,104,46,SRC002 p.104 line 46,Descendants of Imam Hussain (A.S) bin Imam Ali (A.S) bin Abu Talib | child entry 81.1: Ali Zain al-Abideen A.S,descendant_child_under_current_heading,P22,no
EDGE_760625B62D,ENT_D0F5F6FFD4,imam husayn,Imam Hussain,ENT_4D251B98A6,ali al akbar a s,Ali al-Akbar A.S,father_of,medium_high,SRC002,104,48,SRC002 p.104 line 48,Descendants of Imam Hussain (A.S) bin Imam Ali (A.S) bin Abu Talib | child entry 81.2: Ali al-Akbar A.S,descendant_child_under_current_heading,P22,no
EDGE_919455FE70,ENT_D0F5F6FFD4,imam husayn,Imam Hussain,ENT_804B41E729,ali al asghar abdullah a s,Ali al-Asghar (Abdullah) A.S,father_of,medium_high,SRC002,104,50,SRC002 p.104 line 50,Descendants of Imam Hussain (A.S) bin Imam Ali (A.S) bin Abu Talib | child entry 81.3: Ali al-Asghar (Abdullah) A.S,descendant_child_under_current_heading,P22,no
EDGE_D96E83889C,ENT_D0F5F6FFD4,imam husayn,Imam Hussain,ENT_DDA9986615,ja far a s,Ja‘far A.S,father_of,medium_high,SRC002,104,52,SRC002 p.104 line 52,Descendants of Imam Hussain (A.S) bin Imam Ali (A.S) bin Abu Talib | child entry 81.4: Ja‘far A.S,descendant_child_under_current_heading,P22,no
EDGE_21F20CB68D,ENT_D0F5F6FFD4,imam husayn,Imam Hussain,ENT_9154172691,muhammad a s,Muhammad A.S,father_of,medium_high,SRC002,104,54,SRC002 p.104 line 54,Descendants of Imam Hussain (A.S) bin Imam Ali (A.S) bin Abu Talib | child entry 81.5: Muhammad A.S,descendant_child_under_current_heading,P22,no
EDGE_643269A6EA,ENT_D0F5F6FFD4,imam husayn,Imam Hussain,ENT_174A3B739A,imam zainulabideen,Imam Zain ul Abideen,father_of,high,SRC002,105,3,SRC002 p.105 line 3,Descendants of Imam Zain ul Abideen (A.S) bin Imam Hussain (A.S) bin Imam Ali (A.S),descendants_heading_child_bin_father,P22,no
EDGE_6196317614,ENT_174A3B739A,imam zainulabideen,Imam Zain ul Abideen,ENT_DBB176462B,imam muhammad al baqir,Imam Muhammad al-Baqir,father_of,medium_high,SRC002,105,6,SRC002 p.105 line 6,Descendants of Imam Zain ul Abideen (A.S) bin Imam Hussain (A.S) bin Imam Ali (A.S) | child entry 82.1: Imam Muhammad al-Baqir (A.S),descendant_child_under_current_heading,P22,no
EDGE_CFACA9BF4C,ENT_174A3B739A,imam zainulabideen,Imam Zain ul Abideen,ENT_7BB718E9D6,imam zayd,Imam Zayd,father_of,medium_high,SRC002,105,8,SRC002 p.105 line 8,Descendants of Imam Zain ul Abideen (A.S) bin Imam Hussain (A.S) bin Imam Ali (A.S) | child entry 82.2: Imam Zayd (A.S),descendant_child_under_current_heading,P22,no
EDGE_5FC28B129E,ENT_174A3B739A,imam zainulabideen,Imam Zain ul Abideen,ENT_F2D3F09150,abdullah,Abdullah,father_of,medium_high,SRC002,105,10,SRC002 p.105 line 10,Descendants of Imam Zain ul Abideen (A.S) bin Imam Hussain (A.S) bin Imam Ali (A.S) | child entry 82.3: Abdullah,descendant_child_under_current_heading,P22,no
EDGE_97F4A07641,ENT_174A3B739A,imam zainulabideen,Imam Zain ul Abideen,ENT_885C14C883,umar,Umar,father_of,medium_high,SRC002,105,12,SRC002 p.105 line 12,Descendants of Imam Zain ul Abideen (A.S) bin Imam Hussain (A.S) bin Imam Ali (A.S) | child entry 82.4: Umar,descendant_child_under_current_heading,P22,no
